year,month,location_period_id,sm
2009,12,14599,55.666668
2009,12,14600,55.0
2009,12,14612,39.0
2009,12,14626,62.666668
2009,12,14635,53.0
2009,12,14665,69.0
2009,12,14667,73.0
2009,12,14669,72.0
2009,12,14671,78.5
2009,12,14675,85.5
2009,12,14676,79.0
2009,12,14682,78.333336
2009,12,14684,83.0
2009,12,14685,77.5
2009,12,14695,88.96
2009,12,14726,48.724136
2009,12,14752,63.333332
2009,12,14899,62.0
2009,12,14946,76.89412
2009,12,14967,88.521736
2009,12,14969,81.35294
2009,12,14982,74.809525
2009,12,14983,80.066666
2009,12,14985,31.833334
2009,12,14989,77.833336
2009,12,15058,37.51852
2009,12,15121,41.863636
2009,12,15150,75.64286
2009,12,15154,8.314285
2009,12,15169,1.0
2009,12,15175,10.363636
2009,12,15179,4.269663
2009,12,15182,6.0
2009,12,15183,21.076923
2009,12,15195,19.571428
2009,12,15196,10.235294
2009,12,15197,5.909091
2009,12,15200,2.3333333
2009,12,15218,2.5
2009,12,15226,7.6666665
2009,12,15232,10.0
2009,12,15331,10.714286
2009,12,15334,19.26923
2009,12,15335,7.304348
2009,12,15337,14.3
2009,12,15345,8.708333
2009,12,15347,6.627907
2009,12,15349,12.634921
2009,12,15356,38.75
2009,12,15366,13.189189
2009,12,15378,33.969696
2009,12,15413,10.206897
2009,12,15426,11.629032
2009,12,15506,8.712159
2009,12,15510,11.5
2009,12,15511,14.282051
2009,12,15543,22.88
2009,12,16613,3.7311828
2009,12,16615,34.369232
2009,12,16616,2.5869565
2009,12,16618,2.3370166
2009,12,16619,5.7973857
2009,12,16620,1.8367347
2009,12,16622,6.629747
2009,12,16623,14.37963
2009,12,16624,2.8730159
2009,12,16625,1.6298702
2009,12,16627,1.7844827
2009,12,16631,6.6626506
2009,12,16632,4.343949
2009,12,16634,5.7272725
2009,12,16635,8.716418
2009,12,16636,3.2209303
2009,12,16637,3.877193
2009,12,16638,4.5764704
2009,12,16639,2.1578948
2009,12,16640,1.948718
2009,12,16643,1.8030303
2009,12,16644,2.8010752
2009,12,16646,4.4615383
2009,12,16648,3.2125
2009,12,16649,2.6
2009,12,16650,13.380953
2009,12,16651,6.3186812
2009,12,16652,11.525424
2009,12,16653,0.98214287
2009,12,16654,17.47826
2009,12,16655,11.266666
2009,12,16656,10.363636
2009,12,16659,25.25
2009,12,16662,21.333334
2009,12,16673,24.350878
2009,12,16674,11.678572
2009,12,16675,12.641509
